nomor_pendaftaran,JK,bidikmisi,Sekolah,Kabupaten,Provinsi,Pilihan 1,Pilihan 2,Ranking Sekolah,Nilai Mapel UN,Lulus pada Prodi,Lulus Pilihan,X1,X2,X3,X4,X5,X6,X7,X8,X9,XT,IP Sem 1,IP Sem 2,Predikat Semester 1,Predikat Semester 2
4180393955,P,Bidik Misi,SMAN 1 TASIKMALAYA,Kota Tasikmalaya,Jawa Barat,AKUNTANSI,EKONOMI PEMBANGUNAN,130,85.46,Tidak Lulus,Tidak Lulus,10.8,10.7,1,0,10.7,10.7,10.7,10.7,11.3,76.5,,,,
4180394351,P,Bidik Misi,SMAN 1 BANTARUJEG,Kab Majalengka,Jawa Barat,AKUNTANSI,EKONOMI PEMBANGUNAN,144,82.28,Tidak Lulus,Tidak Lulus,10.4,10.3,1,0,10.3,10.3,10.3,10.3,7.5,70.4,,,,
4180394555,L,Bidik Misi,SMAN 21 GARUT,Kab Garut,Jawa Barat,AGROTEKNOLOGI ,AGRIBISNIS ,61,82.3,Tidak Lulus,Tidak Lulus,10.3,10.3,1,0,10.3,10.3,10.3,10.3,9.4,72.1,,,,
4180394688,P,Reguler,MAS NURUL HUDA,Kab Ciamis,Jawa Barat,MANAJEMEN,PENDIDIKAN BAHASA INGGRIS ,27,83.36,Tidak Lulus,Tidak Lulus,10.7,10.4,1,0,10.4,10.4,10.4,10.4,10,73.8,,,,
4180394738,P,Reguler,SMAN 6 TAMBUN SELATAN,Kab Bekasi,Jawa Barat,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,Tidak Memilih,145,81.15,Tidak Lulus,Tidak Lulus,10.2,10.1,1,0,10.1,10.1,10.1,10.1,7.5,69.4,,,,
4180453899,L,Reguler,SMAN 1 CIAWI,Kab Tasikmalaya,Jawa Barat,PENDIDIKAN SEJARAH,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,172,88.21,PENDIDIKAN SEJARAH,pil_1,11.1,11,1,0,11,11,11,11,10.6,77.8,,,,
4180394888,L,Reguler,SMAN 11 BEKASI,Kota Bekasi,Jawa Barat,TEKNIK SIPIL ,Tidak Memilih,240,83.04,Tidak Lulus,Tidak Lulus,10.5,10.4,1,0,10.4,10.4,10.4,10.4,7.5,70.9,,,,
4180395216,P,Bidik Misi,SMAS YAB SUKARATU,Kab Tasikmalaya,Jawa Barat,AKUNTANSI,MANAJEMEN,16,83.97,Tidak Lulus,Tidak Lulus,10.5,10.5,1,0,10.5,10.5,10.5,10.5,10.6,74.6,,,,
4180395477,P,Reguler,SMAN 13 BEKASI,Kota Bekasi,Jawa Barat,KESEHATAN MASYARAKAT,Tidak Memilih,157,80.35,Tidak Lulus,Tidak Lulus,10.2,10,1.2,0,10,10,10,10,7.5,69.1,,,,
4180395499,L,Bidik Misi,SMAN 1 MAJA,Kab Lebak,Banten,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,PENDIDIKAN BIOLOGI,104,81.67,Tidak Lulus,Tidak Lulus,10.2,10.2,1,0,10.2,10.2,10.2,10.2,7.5,69.7,,,,
